,quote,author,category
226365,"Writers are a product of where we come from but by looking at alternatives to the culture in which we live, we can find ways to change and hopefully improve it.",Sara Sheridan,"change-management-training, culture, hope, improve, inspirational, writers, writing"
388621,"He was filled with loss and an off-brand of nostalgia for events that were supposed to become part of his past but now wouldn't at all. In the mind's special processes, a ten-mile run takes far longer than the minutes reported by a grandfather clock. Such time, in fact, hardly exists in the real world; it is all out on the train somewhere, and you only go back to it when you are out there. He and Mize had been through two solid years of such regular time-warp escapes together. There was something different about that, something beyond friendship; they had a way of transferring pain back and forth, without the banality of words.",John L. Parker Jr.,running
379409,"The bar . . . is an exercise in solitude. Above all else, it must be quiet, dark, very comfortable - and, contrary to modern mores, no music of any kind, no matter how faint. In sum, there should be no more than a dozen tables, and a client that doesn't like to talk.",Luis Buñuel,drinking
474914,"Let us take refuge from this world. You can do this in spirit, even if you are kept here in the body. You can at the same time be here and present to the Lord. Your soul must hold fast to him, you must follow after him in your thoughts, you must tread his ways by faith, not in outward show.",Saint Ambrose,"Time, Soul, World "
206441,"A quote is not a conversation, but an invitation to change your perspective.",Shannon L. Alder,"changing-mind, comments, inspiration, invitation, opinions, perspective, quotes, statements, thoughts"
293996,"Smiling is confusing, she thought. This is why I don’t do it.","Rainbow Rowell, Fangirl",smile
344757,I changed. I have been turning into a different person since that half-minute.,Joy Davidman,"conversion, regeneration, repentance"
379696,I don't care if you fall off your broom as long as you catch the Snitch first.,J.K. Rowling,"firebolt, harry-potter, oliver-wood, quidditch, wood"
365250,"Even today, some opt for the comforts of mystification, preferring to believe that the wonders of the ancient world were built by Atlanteans, gods, or space travelers, instead of by thousands toiling in the sun. Such thinking robs our forerunners of their due, and us of their experience. Because then one can believe whatever one likes about the past - without having to confront the bones, potsherds, and inscriptions which tell us that people all over the world, time and again, have made similar advances and mistakes.","Ronald Wright, A Short History of Progress","ancient, civilization, history, knowledge"
70350,"If you want to be successful, put yourself in a discomfort zone.",Sharfaraz Ahmed,"life, motivation, success"
16936,"There was one question, however, which Inciarte had asked him and he could not answer. Why was it that he had lived while others had died? What purpose had God in making this selection? What sense could be made out of it? ‘None,’ replied Father Andrés. ‘There are times when the will of God cannot be understood by our human intelligence. There are things which in all humility we must accept as a mystery.","Piers Paul Read, Alive: The Story of the Andes Survivors","god, humility, mystery, purpose, selection, survival"
24531,"To be happy in absolute terms, along with our happiness, all the world must be happy so that we don’t have to worry for anyone!",Mehmet Murat ildan,happiness
249825,Lincoln admitted his infirmities to make way for his spring.,"Richard Brookhiser, Founders' Son: A Life of Abraham Lincoln","honesty, humility, rapport"
33964,"The poem is like a monster, against which the critic does battle. There is only one way to conquer the monster: you must eat it, bones, blood, skin, pelt, and gristle. And even then the monster is not dead, for it lives in you, is assimilated into you, and you are different and somewhat monstrous yourself for having eaten it.",Unknown,"life, monster, poetry, quotes, random"
56610,"An infinity of passion can be contained in one minute, like a crowd in a small space.","Gustave Flaubert, Madame Bovary","infinity, passion, time"
479997,"Science fiction is a way that I can go into the abstract, go into the imagination, and audiences are still willing to go along for the ride.",Nicolas Cage,"Science, Ride, I Can "
422904,When wecompletely surrender to Him then our thoughts begin to change.,Nikki Vilano,"surrender, thoughts-of-the-mind"
391589,"Take away the newspaper—and this country of ours would become a scene of chaos. Without daily assurance of the exact facts—so far as we are able to know and publish them—the public imagination would run riot. Ten days without the daily newspaper and the strong pressure of worry and fear would throw the people of this country into mob hysteria—feeding upon rumors, alarms, terrified by bugbears and illusions. We have become the watchmen of the night and of a troubled day. . . .",Harry  Chandler,journalism
171479,"Prayer is not about asking what you want, but what God wants.",Shannon L. Alder,"prayer, praying, self-serving, serving-god"
360494,"[G]iving yourself some loving attention is not selfish. It is sensible. If you feel loved and cherished--even if it is only by yourself--then you will have more love to give to others, too. (83)","Penelope Quest, Reiki for Life: A Complete Guide to Reiki Practice","generosity, giving, love, self-loving, selfishness"
