,quote,author,category
365590,At some point reality set in. You realize that you've been holding on to someone or something until you look upon your tightly gripped fist and see nothing is there.,Just Thinking,reality-of-life
70425,Don't try to worry about the things that could've happen. Just wonder about the things that can still happen and fight for them. Because anything worth fighting for will happen in time.,Imania Margria,"author, be-you, be-yourself, believe, believe-and-achieve, believe-in-yourself, dreams, dreams-inspirational, dreams-quotes, goals, imania-margria, inspiration, inspirational, inspirational-quote, inspirational-quotes, inspiring, inspiring-quotes, inspiring-thoughts, inspiring-words, life, life-and-living, life-lessons, life-quotes, motivate, motivation, motvational, moving-on, moving-on-and-letting-go, never-give-up"
186314,"The tears come to my eyes so fast, there's just no way to stop them.","Jonathan Tropper, How to Talk to a Widower","sadness, tears"
96175,"When your leadership and legacy are built on love, obstacles are overcome through love’s fruit of optimism, foundations are built solid and secure in love’s values, and success is achieved through the strength found in love’s endurance.","Farshad Asl, The ""No Excuses"" Mindset: A Life of Purpose, Passion, and Clarity","endurance, leadership, legacy, love, obstacles, optimism"
418887,I was afraid to write Fear of Flying  ergo  I had to write it. I have lived my life according to this principle: If I'm afraid of it  then I must do it.,Erica Jong,"success, happiness"
28146,"El sabor metálico de su propia sangre le invadió la boca sin previo aviso. Sus colmillos habían crecido y le lastimaban el labio inferior. No sentía dolor, sino sed. Una sed que ella no comprendía, que no llegaría a entender nunca. Le quemaba la garganta. Le secaba la boca. A pesar de no ser un vampiro, Grimm tenía sed de ella desde que había probado su sangre. Unas gotas habían sido suficientes para condenarlo de por vida. Para atarlo a un deseo de exquisita y prohibida destrucción.","Karen Delorbe, Legado de sangre","fantasía-urbana, juvenil, paranormal, romance, vampiros, young-adult"
363927,"If thou wilt make a man happy, add not unto his riches but take away from his desires.",Epicurus,"desires, epicurus, happiness"
289015,"The Americans won't win. They're not fighting for their homeland. They just want to be good. In order to be good, they just have to fight awhile and then leave.","Denis Johnson, Tree of Smoke","america, vietnam-war"
273929,"When a problem or a difficult situation arises, say to yourself, as if you already believe it: ""This is for my benefit.","Chris Prentiss, Be Who You Want, Have What You Want: Change Your Thinking, Change Your Life","chris-prentiss, chris-prentiss-quotes, passages-malibu, philosophy, philosophy-of-life, quotes, struggle, wisdom"
198960,"...dark embers smolder inside me - one touch and they flare - who would have thought memory combustible, or near you bright sparks appear?...","John Geddes, A Familiar Rain","love, memory, sparks, touch"
254862,No other work of man in any language even faintly resembles the intricate structure and design of the Bible. The fact remains – only an infinite mind could have devised this Book of books.,Winkie Pratney,"bible, god-s-infinite-mind"
289514,We in America today are nearer to the final triumph over poverty than ever before.,Herbert Hoover,america
133949,"Hope is the light, which shows the way of life.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, quote, truth, wisdom"
286023,"If there's something you really want to believe, that's what you should question the most.",Penn Jillette,"cognitive-bias, critical-thinking, faith, reason, religion"
436981,"The public schools I attended were dominated by athletics and rarely inspiring intellectually, but I enjoyed a small circle of interesting friends despite my ineptitude at team sports and my preference for reading.",Harold E. Varmus,"Friends, Team, Reading "
55099,"Sweet talk's like salt. You can add some later, if need be, but if you pour out too much, you can't sift it out again.","Marcia Gruver, Raider's Heart",life-lessons
164985,"A mothers Love is as deep and powerful as any ocean, in the depths of it forgiveness forever is found for her wandering child.",Raymond D. Longoria Jr.,"belief, compassion, forgiveness, inspiring, kindness, meaning, prayer, spirit, spiritual-quotes, trust"
77090,"There will always be another war, Gillia.” He allowed his cynicism to seep through. “Do you know why? Because there will always be bigots and cowards and power-mad devils in positions of omnipotence. Look around you. There has been war here since time began. It’s nature. Animals kill each other for survival, for territory… and for the taste of blood in their mouths. Man is no different.",V.S. Carnes,"peace, war, world-war-1"
115900,Confident people tend to evaluate their opinions alongside those of others and then follow their intuition.,"Sam Owen, 500 Relationships And Life Quotes: Bite-Sized Advice For Busy People","confidence, intuition, personal-development, self-help"
112822,"She closed her eyes and held all her dreams between her fingers like a dandelion and just blew it. She smiled watching it fly through the air, making everything look beautiful around her while a tear rolled down her cheek.",Akshay Vasu,"air, beautiful, dandelion, fly, pain, smile, tear, watch"
222192,"That's the thing about distance: It either gives you time to move on form someone, or it makes you realize just how much you need them.","Estelle Maskame, Did I Mention I Need You?","contemporary, romance, teen, ya, young-adult"
274353,"this life has been a landscape of painand still,flowersbloom in it.","Sanober  Khan, A Thousand Flamingos","bloom, blooming, flowers, hope, hopeful, hurting, landscape, life-quotes, pain, poetry, poetry-quotes, positivity"
6149,"It is not the failure of others to appreciate your abilities that should trouble you, but rather your failure to appreciate theirs.",Confucius,inspirational
289094,True heroism is not reserved solely for men and women in uniform. Heroes come from all walks of lifestyles.,"James Morris Robinson, Accelerant: Continental Drift","america, heroes, patriotism"
241464,Everything we encounter can have a positive influence in shaping our life when we adopt a lens of Gratitude.,Rob Martin,"book, gratitude, gratitude-happiness-inner-peace, gratitude-life-happiness-success, inspirational, inspirational-quotes, self-awareness, self-help"
96363,"We cannot keep on blaming the past leaders about the present circumstances. We need to be mindful that if we do nothing to improve the present circumstances, our children will also blame us in the future.",Gugu Mona,"circumstances, future, improvement, leaders, leadership, past, present"
358945,Reputation takes decades to make. And can be lost in one tweet. Think about that before you press the send button.,"David Hieatt, Do Purpose: Why Brands with a Purpose Do Better and Matter More",business-quotes
438111,"Today, computers are almost second nature to most of us.",James Dyson,"Nature, Today, Second "
208278,"The more we wait, the more everything and everyone looks like a grain of sand escaping between our fingers before vanishing into the wind.","Fábio Moon, Daytripper","loneliness, love"
288017,"Without free speech no search for truth is possible... no discovery of truth is useful... Better a thousandfold abuse of free speech than denial of free speech. The abuse dies in a day, but the denial slays the life of the people, and entombs the hope of the race.",Charles Bradlaugh,liberty
225727,When you write a story you're telling yourself the story. When you rewrite your main job is taking out all the things that are NOT the story.,Stephen King,"author, king, on-writing, stephen-king, write, writers"
126030,"God has given every man, 120 years of life on earth. It yours to possess.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","a-child-of-god, abundant-life, answered-prayers, belief, believe-in-god, blessed-life, blessings, christian, death, desire, destiny, faith, fate, god, inspirational-life, lailah-gifty-akita-affirmations, life, pray, religion, scriptures, self-motivation, wish, words-of-wisdom"
242889,"Ire, like an atom bomb, could clear the field but came with consequence.","Julia DeBarrioz, Cazadora",anger
391059,"Your faces are very beautiful,but they are wooden cages.You had better run from me.My words are fire.","Jalaluddin Rumi, The Book of Love: Poems of Ecstasy and Longing",mortality
28201,"I used to think I was the strangest person in the worldbut then I thought, there are so many people in the world, there must be someone just like me who feels bizarre and flawed in the same ways I doI would imagine her, and imagine that she must be out there thinking of me too.well, I hope that if you are out there you read this and know that yes, it’s true I’m here, and I’m just as strange as you.",Rebecca Katherine Martin,"bizarre, feel, flawed, hope, imgaine, know, misattributed-frida-kahlo, people, person, read, strangest, think-strange, thought, world"
42981,Awaken your heart!,"Stefan Emunds, Holistic Self-realization","body-mind-soul, holistic, inspiration, inspirational, inspirer, life-lesson, positive-life, positive-psychology, self-help, self-realization"
339084,We can cure the disease of intolerance. We must do it if the world is to survive. No us. No them. Just we.,Steve Goodier,"barriers, barriers-in-life, boundaries, boundaries-quotes, intolerance, togetherness, tolerance, united, unity, unity-of-all-people, unity-quotes"
290857,"We have testimony about solitude from the most creative among us. For Mozart, ""When I am, as it were, completely myself, entirely alone, and of good cheer -- say, traveling in a carriage or walking after a good meal or during the night when I cannot sleep -- it is on such occasions that my ideas flow best and most abundantly."" For Kafka, ""You need not leave your room. Remain sitting at your table and listen. You need not even listen, simply wait, just learn to become quiet, and still, and solitary. The world will freely offer itself to you to be unmasked."" For Thomas Mann, ""Solitude gives birth the original in us, to beauty unfamiliar and perilous -- to poetry."" For Picasso, ""Without great solitude, no serious work is possible.",Sherry Turkle,solitude
412197,Nothing is more powerful than habit.,Ovid,"one, day"
266468,The aim of the taper is to minimise accumulated fatigue and fill up the fuel stores to arrive at the start line fresh.,"Dan Golding, Triathlon: Winning at 70.3: How To Dominate The Middle Distance","cycling, fitness, health, running, swimming, triathlon"
110249,"Despite all of the violence, suffering and wars, don’t forget to sing the song of love, harmony, and peace.",Debasish Mridha,"debasish-mridha, harmony, inspirational, love, peace, philosophy, suffering, violence, wars"
241017,"Well, you ought to stick with it, even after you mess up-but sticking with it is a lot easier if you have a family who believes in you.","Kathryn Littlewood, A Dash of Magic","believe, family, mess-up"
472488,"Conserving energy and thus saving money, reducing consumption of unnecessary products and packaging and shifting to a clean-energy economy would likely hurt the bottom line of polluting industries, but would undoubtedly have positive effects for most of us.",David Suzuki,"Money, Hurt, Energy "
26456,"I know you. Inside and out, Sara. I know you, and I’ve accepted it all. Every bit of the crazy. And I love you anyway remember?","Emme Rollins, Dear Rockstar","crazy, crazy-in-love, crazy-love, crazy-people, crazy-quotes, love, love-hurts, new-adult, new-adult-fiction, new-adult-romance, romance"
352702,Divorce shreds the muscles of our hearts so that they will hardly beat without a struggle.,"E. Lockhart, We Were Liars","divorce, divorce-separation-children, we-were-liars"
9163,"The French have a new president, the British will soon have a new P.M., and we envy them as we endure the endless wait for this small dim man to go back to Texas and resume his life.",Garrison Keillor,"humor, politics"
88698,"I would miss Colby, but it wasn't going anywhere. All the more reason why I should.","Sarah Dessen, The Moon and More","change, fresh-start, going-away, missing, seeing-the-world"
356682,"The moon rose up that evening and shot her silver arrows at the house under the artu tree. The house was empty. Then the moon came across the sea and across the reef. She lit the lagoon to it's dark, dim heart. She lit the coral brains and sand spaces, and the fish casting their shadows on the sand and the coral. The keeper of the lagoon rose to greet her, and the fin of him broke her reflection on the mirror-like surface into a thousand glittering ripples. She saw the white staring ribs of the form on the reef. Then, peeping over the trees, she looked down into the valley, where the great stone idol had kept it's solitary vigil for five thousand years, perhaps, and more.At this base, in his shadow, looking as if under his protection, lay two human beings, naked, clasped in each other's arms and fast asleep. One could scarcely pity his vigil, had it been marked sometimes through the years by such an incident as this. The thing had been conducted just as the birds conduct their love affairs. An affair absolutely natural, absolutely blameless and without sin. A marriage according to Nature, without feasts or guests, consummated with accidental cynicism under the shadow of a religion a thousand years dead.","Henry de Vere Stacpoole, The Blue Lagoon","idol, moon, moonlight, ocean, the-blue-lagoon"
136564,when you are about to give up just remember you have only two choices: stay in course or start all over again!,Manuel Corazzari,"choices, determination, passion"
368835,Preparation will relieve you from pressures. Stay prepared and you will not need to worry about pressures,Richard Okorie,"prepare-to-win, successful-living"
376908,"That's because, if correct, a mathematical formula expresses an eternal truth about the universe. Hence no one can claim ownership of it; it is ours to share. Rich or poor, black or white, young or old - no one can take these formulas away from us. Nothing in this world is so profound and elegant, and yet so available to all.",Edward Frenkel,"formula, mathematics, truth"
22245,"Deep down we all know that freedom is a choice, yet so many of us don’t feel that truth.","Beth Kempton, Freedom Seeker: Live More. Worry Less. Do What You Love.","adventure, biography, freedom-of-choice, freedom-quotes, inspirational-life, inspirational-quotes, life-lessons, life-quotes, motivational-quotes, personal-development, personal-growth, quotes-for-women, travel-quotes"
201598,"Lowe has broken from the Christianity of his parents, a faith that now seems hopelessly out of date. The meek shall no longer inherit the earth; the go-getters will get it and everything that goes with it. The Christ who went among the poor, the sick, the downtrodden, among lepers and prostitutes, really had no marketing savvy. He has been transfigured into a latter-day entrepreneur, the greatest superstar sales person of all time, who built a multinational outfit from scratch.","Eric Schlosser, Fast Food Nation: The Dark Side of the All-American Meal","christianity, entrepreneur, jesus"
184149,I'm bored of it all being miserable. I just want something to change. There's nothing wrong with that is there?,"Sharon Duggal, The Handsworth Times","grief, siblings"
237605,"My life was a blank paper, until you came to rhyme with words & make it a poetry book. ❤ ❤",Akansh Malik,"book, love, poem, poetry"
401007,Practice being excited.,Bill Foster,enthusiasm
248366,"If people respect your age and not your personality, then it's time for you to do some urgent introspection.",Amit Kalantri,"age, ageing, human, humans, inspiration, inspirational, inspirational-quotes, introspection, motivation, motivational, motivational-quotes, personality, philosophy, respect, respectable, respected, respectful, respecting, respecting-others, respecting-yourself, wisdom, wisdom-quotes"
355290,"I thought, 'There are a lot of poets who have the courage to look into the abyss, but there are very few who have the courage to look happiness in the face and write about it,' which is what I wanted to be able to do.",Kenneth Koch,"courage, happiness, poet"
238261,"We need to live our experience as it is and with our eyes open. The universe is the way it is, whether we like it or not.","Lawrence M. Krauss, A Universe from Nothing: Why There Is Something Rather Than Nothing","experience, universe"
153909,"But unfortunately you get no further by merely wishing class-distinctionsaway. More exactly, it is necessary to wish them away, but your wish has noefficacy unless you grasp what it involves. The fact that has got to be faced isthat to abolish class-distinctions means abolishing a part of yourself. Here amI, a typical member of the middle class. It is easy for me to say that I want toget rid of class-distinctions, but nearly everything I think and do is a result ofclass-distinctions. All my notions –notions of good and evil, of pleasant and unpleasant,of funny and serious, of ugly and beautiful–are essentially middle-classnotions; my taste in books and food and clothes, my sense of honour, my tablemanners, my turns of speech, my accent, even the characteristic movements ofmy body, are the products of a special kind of upbringing and a special nicheabout half-way up the social hierarchy.","George Orwell, The Road to Wigan Pier","language, psychology, sociology"
329919,Marriage is the equivalent of trying to live with a bug perpetually up your nose.”D’Artagnan Bloodhawke,"D'Artagnan Bloodhawke, Moment to Moment","funny-quotes, humorous-quotes, inspirational-quotes"
261973,"Ultimately, all arguments against markets are arguments against anarchy. Marx understood this much, at least.",Jeffrey Tucker,"anarcho-capitalism, anarchy, ancap, austrian-school-of-economics, coercion, collectivism, communism, force, free-market, freedom, government, laissez-faire, libertarian, liberty, nap, non-aggression-principle, state, statism, taxation, voluntaryism"
336356,"You’re the rose in a world full of thorns, and the rainbow at the end of a storm. You’re the light people crawl through darkness for. You’re the good that balances out all the bad.","Jeannine Allison, Unveiling Ghosts","goodness, love"
318802,"Don't you love your mother, dear?""""I guess so. A hard, sharp, thorny kind of love that might be pity more than anything else.","Dean Koontz, Brother Odd","abuse, abuse-survivors, mother-s-love, neglect, odd-thomas, sister-miriam"
229608,"He who learns must suffer. And even in our sleep pain, which cannot forget, falls drop by drop upon the heart, until in our own despair, against our will, comes wisdom through the awful graces of God.","William Kent Krueger, Ordinary Grace","grace, pain"
459947,"My husband and I went to Bald Head Island for our four-year anniversary. We spent the night in bed with champagne, tequila and Krispy Kreme doughnuts and watched a boxing match on Showtime.",Teri Polo,"Night, Husband, Boxing "
434342,"I think there are many ways to raise great kids. From what I can tell, Ayelet Waldman's kids are interesting, strong, and happy, and if that's the case, that's good parenting.",Amy Chua,"Happy, Good, Great "
138654,"Once again, he became outraged that humans—more specifically his dad—would rather invest in something pointless than the people right in front of them. Would Earth still suffer and need movements dedicated to its healing if humankind was rooted in reality?","Jesikah Sundin, Elements","elements, fillion, humankind, reality, the-biodome-chronicles"
18006,"I am an advocate of godliness, not of god.","Abhijit Naskar, 7 Billion Gods: Humans Above All","brainy-quotes, god, godliness, humanism, humanitarian, inner-divinity, inspirational, sage"
431958,"Who do you call a civilian in a guerilla war? I mean, it might be a farmer by day or a merchant, a housewife, and by night the housewife may be helping to make landmines and booby traps and who knows.",Tim O'Brien,"Day, Night, You "
116107,Don't let hollow heroes distract you from saving yourself.,Nikki Rowe,"guidance, hero, heroes, inspirational, kindness, love, love-yourself, quotes, saviour, self-care, self-help, self-help-book, self-love, spirit, understanding, warrior"
371924,"We disapprove of state education. Than the socialists say that we are opposed to any education. We object to a state religion. Than the socialists say that we don't want an religion at all. We object to a state-enforced equality. Than they say that we are against equality. And so on, and so on. It is as if the socialists were to accuse us of not wanting persons to eat because we do not want the state to raise grain.","Frédéric Bastiat, The Law","socialism, state"
371769,the people who mostly get angry on you mostly love you,Abeer rehan,care
157470,"Girl, don't let your dreams be dreams. You know this living's not so hard as it seems.","Jack Johnson, Jack Johnson - On and on","dreams, living"
264728,God is Santa Claus for Grown-Ups.,"Oliver Markus, Oliver's Strange Journey: Collector's Edition","atheism, atheists, christmas, funny, god, growing-up, humor, new-atheism, new-atheists, obvious-truth, religion, santa-claus, sense-of-wonder"
46717,"Work democracy cannot be imposed on people as a political system. It depends on the consciousness on the part of the working people in all professions of their responsibility for the social process. This consciousness may be present or it may grow in an organic manner, like a tree or an animal organism. The growth of this consciousness of social responsibility is the most important prerequisite for the prevention of the cancer-like growth of political systems in the social organism. If they are allowed to grow, they will sooner or later bring about social chaos. Furthermore, such consciousness of responsibility alone will, in the course of time, bring the institutions of human society into harmony with the natural functions of work democracy. Political systems come and go without stopping or fundamentally changing the social process. But the pulse of human society would stopand not return should the natural life functions of love, work and knowledge cease for only one day. Natural love, vitally necessary work and scientific search are rational life functions. They can inherently be nothing but rational. Consequently, they are diametrically opposed to any kind of irrationalism. Political irrationalism which infests, deforms and destroys our lives, is — in the strictly psychiatric sense—a perversion of social life, caused by the ostracizing of the natural life functions and by their exclusion from the determination of social life.","Wilhelm Reich, The Mass Psychology of Fascism","consciousness, knowledge, love, social-responsibility, work, work-democracy"
491280,"Remember, if you want to love your life and live it to the fullest, don't let the sun go down on your anger. If you don't have a solution to the issue, agree to disagree and focus on the importance of the relationship.",Victoria Osteen,"Love, Life, Anger "
40413,"A sentence should be read as if its author, had he held a plough instead of a pen, could have drawn a furrow deep and straight to the end.",Henry David Thoreau,writing
67719,"Complex steels our energy with the help of misgivings, strains, and fear of consequences for wrong decisions",Sunday Adelaja,"calling, complex, decision, energy, fear, goal, help, life, mission, purpose, steels, strain, wrong"
499150,"I was born in a hurricane in Pensacola, Florida... my dad was in the military, so we moved all over the place. But I consider myself a southerner from Louisiana. I've lived in Texas for most of my adult life.",Kimberly Willis Holt,"Life, Myself, Military "
74307,"What are you going to do for school?""""Go to FSU with Tash.""""What if there was no Tash? What would you do then?""""I don't know,"" she murmurs. ""Maybe go wherever Gabe goes. Or come to New York with you.""It fills me with warmth, running liquid through me, but it won't thaw my mind. ""Why does it have to be, like, based off someone else? Why can't you just do what you want?""""What I want is to be around people I care about.""""Oh."" I blink at the ceiling once, twice, eyelids getting heavy, eyes getting fuzzy. It makes sense when she says it like that.","Emma Mills, This Adventure Ends","choices, friendship, love"
258068,"I think… that love encompasses the experience of the possible transition from the pure randomness of chance to a state that has universal value. Starting out from something that is simply anencounter, a trifle, you learn that you can experience the world on the basis of difference and not only in terms of identity. And you can even be tested and suffer in the process. In today’s world, it is generally thought that individuals only pursue their own self-interest. Love is an antidote to that. Provided it isn’t conceived only as an exchange of mutual favours, or isn’t calculated way in advance as a profitable investment, love really is a unique trust placed in chance. It takes us into key areas of the experience of what is difference and, essentially, leads to the idea that you can experience the world from the perspective of difference. In this respect it has universal implications: it is an individual experience of potential universality, and is thus central to philosophy, as Plato was the first to intuit.","Alain Badiou, In Praise of Love","chance, difference, identity, love, otherness, philosophy, universal"
438801,I always knew I was brainy. It struck me when I was a child that I wanted to be an adult because I never felt I belonged among children whose minds were so much simpler than mine.,Maximillian Degenerez,"Children, Child, Me "
267130,"There were many women in the Soviet scientific community, proportionately more so than in the United States. But they tended to occupy menial middle-level positions, and male Soviet scientists, like their American counterparts, were puzzled about a pretty woman with evident scientific competence who forcefully expressed her views.",Carl Sagan,"female, scientist, woman"
141948,You don't know what thirst is until you drink for the first time.,Carlos Ruiz Zafón,"love, sex, thirst, water"
463949,"The greater the step forward in knowledge, the greater is the one taken backward in search of wisdom.",Stephen Gardiner,"Wisdom, Step, Search "
211573,To discover the exact location of a 'thing' is a simple matter of factual research. To discover the exact location of a person: where to locate the self?,"Nadine Gordimer, The Pickup","person, self"
445440,"Patience has its limits, take it too far and it's cowardice.",Holbrook Jackson,"Limits, Cowardice, Far "
406308,Make us happy and you make us good.,Robert Browning,happy
167205,Life eats life to live.,"Dejan Stojanovic, Circling: 1978-1987","circling, dejan-stojanovic, eats, life, literature, literature-quotes, live, poetry, poetry-quotes, quotes, quotes-to-live-by, thoughts, wisdom"
188595,"When I am alone, I drink my tea with pinkie raised, like a kid playing ""tea party."" At times, a fancy British accent is involved. Dahling!","Christy  Hall, The Little Silkworm","humorous-quotations, imagination, writers, writers-quotes"
349485,"Observe and blend in,"" he stated in his cool, unruffled voice. ""Learn how to engage with humans, how to be human. Assimilate into their social structure and make them believe we are one of them.","Julie Kagawa, Talon",dragons
487359,In the frank expression of conflicting opinions lies the greatest promise of wisdom in governmental action.,Louis D. Brandeis,"Action, Greatest, Opinions "
466221,"And I'd say one of the great lessons I've learned over the past couple of decades, from a management perspective, is that really when you come down to it, it really is all about people and all about leadership.",Steve Case,"Great, Management, Past "
359337,It was one of those sweltering summer days in which the air itself seems to decline as a haze suffocates the outside world. It is painfully bright whether you are looking up at that ball of burning hydrogen or down at its vivid reflection on sheer pavement.,Moonshine Noire,"haze, heat, heatwave, suffocation, summer, sun"
273867,I did not know of any single soul who succeed in life without a mentorship.,"Lailah Gifty Akita, Think Great: Be Great!","achieve-your-dreams, achievement, believe-and-achieve, coaching, college, dreams-come-true, education, educational-philosophy, fulfilling-your-potential, guidance, inspiration, knowledge-wisdom, leaders, leadership, life, life-lessons, mankind, mentor, mentor-and-student, mentors, mentorship, parenting-advice, philosophy-of-life, potential, science, souls, students, success, teachers, teaching, university, wisdom, wishes-fulfilled"
288713,"Hate is a disease, but love is its only cure.","Liv Morris, Adam's Fall","love-quotes, love-story, tantra"
439567,"On Christmas morning, we always make breakfast, and everyone eats before we open any presents. I make muffins and homemade applesauce, which I don't think anyone likes as much as I do... I just love the way it makes the house smell!",Laura Leighton,"Love, Morning, Breakfast "
415736,The opinions which we hold of one another  our relations with friends and kinsfolk are in no sense permanent  save in appearance  but are as eternally fluid as the sea itself.,Marcel Proust,relationship
298200,People seldom change. Only their masks do. It is only our perception of them and the perception they have of themselves that actually change.,Shannon L. Alder,"being-real, change, changing-opinions, masks, perception, perception-of-others, realness, seeing-people, seeing-souls, social-mask"
471979,"Come away, O human child: To the waters and the wild with a fairy, hand in hand, For the world's more full of weeping than you can understand.",William Butler Yeats,"Child, World, You "
317863,Divorce is an expensive punishment love gets when it fails,"Bangambiki Habyarimana, The Great Pearl of Wisdom","divorce, divorce-humor, divorce-quotes, divorce-relationship, divorce-separation-children, divorcing, love, love-at-first-sight, love-quote, love-quotes, love-quotes-and-sayings, love-quotes-for-everybody, punishment, punishment-quotes"
152936,An honorable man has a heart for the poor and vulnerable in our society.,Kristian Goldmund Aumann,"honorable-man, poor, society, vulnerable"
321741,"Never feel like you need to visit him, ever?"" ""I see him every morning in the mirror. I think of him as the ghost version of me. And who needs to visit your own ghost?","Adele Griffin, All You Never Wanted",parents
144775,Growth of human hair is the absolute blessing for a barber,Munia Khan,"absolute, barber, blessing, cut, fact, facts-of-life, growing, growth, hair, haircut, haircuts, hairdresser, hairstyle, human, wisdom, wisdom-quotes"
33116,Be the winner in your life!,"Tae Yun Kim, Seven Steps to Inner Power","ebooks, inspirational, quotes, self-esteem, winner"
341758,"In every four there is one the slowest, and one the swiftest; and while the race is always to the slowest, the trouble is always with the swiftest.",Ben-Hur: A Tale of the Christ,"fastest, harmony, horse, one, race"
488964,"When I create an image that helps someone - even just myself - find peace, then I've attained my goal.",Evelyn Lauder,"Myself, Goal, Find "
11248,Violence begins with the fork.,Mahatma Gandhi,"gandhi, philosophy, veganism"
161407,... misfortune and creativity go together.,"Cirilo F. Bautista, The House of True Desire: Essays on Life and Literature","creativity, misfortune, tragedy"
119815,The heartland lies where the heart longs to be. Sometimes it takes a lifetime to find the true place to plant it.,"Vera Nazarian, The Perpetual Calendar of Inspiration","heart, heartland, home, longing"
360696,"Who exactly am I saving from shame, when I’ll live and die in every possible way?","Greg Egan, Axiomatic",shame
419632,"Don't worry if your ""you"" is small and your rewards are few: Remember that the mighty oak was once a nut like you.",Anonymous,"thank, yous, closures"
482878,"With the other fellow actors who have gone astray, I think it's sad that society wants to label the business as doing this to people. It's really not true.",Tina Yothers,"Business, Society, People "
288567,This is why I choose not to have real-life girlfriends. I can’t even pretend without starting a fight.,"Colleen Hoover, November 9","colleen-hoover, love-story, november-9"
303180,"To be black in the Baltimore of my youth was to be naked before the elements of the world, before all the guns, fists, knives, crack, rape, and disease. The nakedness is not an error, nor pathology. The nakedness is the correct and intended result of policy, the predictable upshot of people forced for centuries to live under fear, The law did not protect us. And now, in your time, the law has become an excuse for stopping and frisking you, which is to say, for furthering the assault on your body, But a society that protects some people through a safety net of schools, government-backed home loans, and ancestral wealth but can only protect you with a club of criminal justice has either failed at enforcing its good intentions or has succeeded at something much darker. However you call it, the result was our infirmity before the criminal forces of the world. It does not matter if the agent of those forces is white or black—what matters is our condition, what matters is the system that makes your body breakable.","Ta-Nehisi Coates, Between the World and Me","institutional-oppression, police-brutality, racism"
300394,"The way I saw it, if my students were willing to pretend I was a teacher, the least I could do was return the favor and pretend that they were writers.","David Sedaris, Me Talk Pretty One Day","humor, satire, teaching, writing"
302146,"Outside my bike, never has anything important in my life been just mine."" My body stilled, so did my heart, and my eyes locked with his. He started moving again, slowly, deeply and he kept talking. ""Always castoffs, leftovers, used, sometimes even food from the dumpsters."" My heart started beating again, only to trip over itself; my breath came fast, not only from what was happening to my body but what he was saying. ""Vance-"" His lips came to mine, his hands moved out of my hair and went to the side of my face and he stared in my eyes, pressing deep inside. ""Mine,"" he muttered, his deep voice hoarse, that fierce undercurrent there. His tone caused a shiver to run through me, straight through to my soul. Then he kissed me.","Kristen Ashley, Rock Chick Renegade","crowe, jules, law, renegade, rock-chick, vance, virgin"
326568,Ideas are meaningless without a masterful execution.,"Alejandro Cremades, The Art of Startup Fundraising","entrepreneur, entrepreneur-quote, entrepreneur-quotes, entrepreneurial, entrepreneurs, entrepreneurs-institute, entrepreneurship, entrepreneurship-quotes, entrepreneurship-training, finance, finance-quotes, fundraising, start-up, start-ups, startup, startup-fundraising, startup-life, startup-quote, startup-quotes, startup-resources, startup-training, startups"
499325,"The earth we abuse and the living things we kill will, in the end, take their revenge; for in exploiting their presence we are diminishing our future.",Marya Mannes,"Revenge, End, Earth "
177390,"Even If I Don’t See it Again Even if I don’t see it again.–nor ever feel it I know it is–and that if once it hailed me it ever does– and so it is myself I want to turn in that direction not as towards a place, but it was a tilting within myself, as one turns a mirror to flash the light to where it isn’t.–I was blinded like that–and swam in what shone at me only able to endure it by being no one and so specifically myself I thought I’d die from being loved like that.",Marie Howe,"joy, light, love"
70512,"When it comes to the core of who we are, it takes incredible effort to shift more than one standard deviation from the mean of your life.",E. Obeng-Amoako Edmonds,"growth, life-change, motivation, persistence, self-improvement"
382714,"They jogged along in silence, Jem playing with the thong of the whip, and Mary aware of his hands beside her. She glanced down at them out of the tail of her eye, and she saw they were long and slim; they had the same strength, the same grace, as his brother's. These attracted her; the others repelled her. She realised for the first time that aversion and attraction ran side by side; that the boundary line was thin between them. The thought was an unpleasant one, and she shrank from it. Supposing this had been Joss beside her ten, twenty years ago? She shuttered the comparison at the back of her mind, fearing the picture it conjured. She knew now why she hated her uncle.","Daphne du Maurier, Jamaica Inn","attraction, aversion"
145739,"A scientist is proud of his intelligence, an artist is proud of his imagination.",Amit Kalantri,"amit-kalantri, amit-kalantri-quotes, artist, artistry, artists, genius, human, humans, imagination, imagine, inspiration, inspirational, inspirational-quotes, intelligence, motivation, motivational, motivational-quotes, philosophy, pride, proud, science, scientist, thought, thoughts, wisdom, wisdom-quotes"
276384,"It's an unholy crusade against good people everywhere, all in my name. If I had a stomach, I'd be sick to it. You see now why so many good people just give up out there? You can only take so much evil pretending to be good. You can only handle so many broken souls acting as if good people are the evil ones, before you raise your hands and claim defeat. But I want you all to understand something. There is evil happening. There are spirits from Hell demonizing. There are even wars planned, and dark judgments justified by the self-righteous fanatics. But none of that means good can't also triumph. None of that means good cannot rise up against hatred, against judgment, against the armies of Hell itself, and bring about a tidal wave of joy and love. Evil does, but good always is.","Sean Patrick Brennan, The Papal Visitor","god, heaven, heaven-and-hell, hell, inspirational"
485167,"Since no one but you can know what's best for you, government control can't make your life better.",Harry Browne,"Life, Best, Control "
